row_index,question,source_file,page,chunking_method,chunk_format,text_chars,rerank_score,distance,id
71,Quel est le taux de la prime de rendement pour les personnels de soutien à la recherche ?,F2014012.txt,3,regex,article,85393,0.1279296875,0.8616672158241272,F2014012.txt_regex_doc_0_art_2
83,Quel est le montant de l'indemnité de documentation pour un ingénieur de recherche conseil ?,F2014012.txt,3,regex,article,85393,0.040985107421875,0.7780542373657227,F2014012.txt_regex_doc_0_art_2
28,Jusqu'à quelle date l'extraction de matériaux alluvionnaires peut-elle être autorisée à titre transitoire ?,F2018012.txt,10,regex,article,67974,0.176513671875,0.8863837718963623,F2018012.txt_regex_doc_7_art_2
53,Quel est l'effectif total d'agents contractuels prévu pour l'institut national des télécommunications (INTTIC) ?,F2018012.txt,10,regex,article,67974,0.81982421875,0.9131728410720825,F2018012.txt_regex_doc_7_art_2
97,Quels sont les éléments exclus du calcul du salaire national minimum garanti (SNMG) ?,F2021002.txt,31,regex,article,65943,0.048675537109375,0.9583573937416077,F2021002.txt_regex_doc_4_art_3
31,Quelle est la langue d'enseignement imposée aux établissements privés d'éducation ?,F2006003.txt,16,regex,article,65269,0.266357421875,0.8973041772842407,F2006003.txt_regex_doc_5_art_2
97,Quels sont les éléments exclus du calcul du salaire national minimum garanti (SNMG) ?,F2008006.txt,11,regex,article,59004,0.040252685546875,0.9498887062072754,F2008006.txt_regex_doc_3_art_1
89,Quelles sont les quatre directions qui composent la direction générale des enseignements et de la formation supérieurs ?,F2014005.txt,8,regex,article,36311,0.99365234375,0.883489727973938,F2014005.txt_regex_doc_7_art_1
99,"Quelles sont les obligations des opérateurs de télécommunications (GSM, 3G, V.SAT) concernant les réquisitions judiciaires ?",F2021004.txt,3,regex,article,29466,0.54833984375,0.830825686454773,F2021004.txt_regex_doc_0_art_4
44,Quel est le montant de l'indemnité de présence par dossier traité pour les membres des commissions de recours de sécurité sociale ?,F2022001.txt,54,regex,article,28615,0.91748046875,0.8747203350067139,F2022001.txt_regex_doc_4_art_1
28,Jusqu'à quelle date l'extraction de matériaux alluvionnaires peut-elle être autorisée à titre transitoire ?,F2018002.txt,8,regex,article,22713,0.0325927734375,0.9050403833389282,F2018002.txt_regex_doc_3_art_2
71,Quel est le taux de la prime de rendement pour les personnels de soutien à la recherche ?,F2014010.txt,71,regex,article,21697,0.0823974609375,0.8724712133407593,F2014010.txt_regex_doc_8_art_1
16,Quel est le pourcentage du salaire national minimum garanti (SNMG) accordé à un détenu pour un travail « spécialisé » ?,F2010010.txt,32,regex,article,20975,0.245849609375,0.9574564099311829,F2010010.txt_regex_doc_4_art_1
16,Quel est le pourcentage du salaire national minimum garanti (SNMG) accordé à un détenu pour un travail « spécialisé » ?,F2009008.txt,32,regex,article,20634,0.25439453125,0.9726117253303528,F2009008.txt_regex_doc_4_art_1
